partType,name,image,url,sizeType,storageType,brand,socket,speed,coreCount,threadCount,power,VRAM,resolution,size,space,productId,precio_ficticio,price_category
motherboard,Biostar B560MHP 2.0 Micro ATX LGA1200 Motherboard (B560MHP 2.0),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/M3cG3C/biostar-b560mhp-20-micro-atx-lga1200-motherboard-b560mhp-20,ATX,,Intel,LGA 1200,,,,,,,,,8065,64.13687763535495,barato
gpu,MSI RADEON RX VEGA 64 8G Radeon RX VEGA 64 8 GB Video Card (RADEON RX VEGA 64 8G),https://cdna.pcpartpicker.com/static/forever/images/product/f81aca2885f45255d50f6f3fcbe221a1.256p.jpg,https://pcpartpicker.com/product/Fx4NnQ/msi-radeon-rx-vega-64-8gb-video-card-radeon-rx-vega-64-8g,,,AMD,,,,,300.0,8.0,1080p,,,5214,228.8711324540538,barato
psu,Cougar GX-S 750 W 80+ Gold Certified ATX Power Supply (GX-S750),https://images-eu.ssl-images-amazon.com/images/I/514RWAMbPRL.jpg,https://pcpartpicker.com/product/tjbkcf/cougar-gx-s-750w-80-gold-certified-atx-power-supply-gx-s750,ATX,,,,,,,750.0,,,,,10989,179.43515348017152,caro
gpu,Zotac GAMING Twin Fan GeForce RTX 2070 SUPER 8 GB Video Card (ZT-T20710F-10P),https://cdna.pcpartpicker.com/static/forever/images/product/f0246ab629a89d58b1aa6f203e97a32e.256p.jpg,https://pcpartpicker.com/product/gZLwrH/zotac-geforce-rtx-2070-super-8-gb-twin-fan-video-card-zt-t20710f-10p,,,NVIDIA,,,,,200.0,8.0,1080p,,,3606,384.9260364152166,intermedio
storage,"Seagate BarraCuda 1.5 TB 3.5"" 7200 RPM Internal Hard Drive (ST1500DM003)",https://images-na.ssl-images-amazon.com/images/I/51O4aJrBttL.jpg,https://pcpartpicker.com/product/xCxfrH/seagate-internal-hard-drive-st1500dm003,,HDD,,,,,,,,,,1000.0,13727,54.564395114530484,barato
storage,"Seagate FireCuda 120 500 GB 2.5"" Solid State Drive (ZA500GM10001)",https://m.media-amazon.com/images/I/414gCFbFBhL.jpg,https://pcpartpicker.com/product/bpZzK8/seagate-firecuda-120-500-gb-25-solid-state-drive-za500gm10001,,SATA,,,,,,,,,,500.0,12853,146.47883625634154,barato
motherboard,Biostar A785GE Micro ATX AM3/AM2+ Motherboard (A785GE),https://images-na.ssl-images-amazon.com/images/I/61mQ4Zd04CL.jpg,https://pcpartpicker.com/product/gzTmP6/biostar-motherboard-a785ge,ATX,,AMD,AM3,,,,,,,,,8898,65.77996218029496,barato
gpu,Gigabyte GAMING OC GeForce RTX 2080 8 GB Video Card (GV-N2080GAMING OC-8GC),https://m.media-amazon.com/images/I/41xvghDd1ML.jpg,https://pcpartpicker.com/product/qMKcCJ/gigabyte-geforce-rtx-2080-8gb-gaming-oc-video-card-gv-n2080gaming-oc-8gc,,,NVIDIA,,,,,250.0,8.0,1080p,,,3716,340.92538542416656,intermedio
psu,Thermaltake Toughpower DPS G RGB Titanium 1500 W 80+ Titanium Certified Fully Modular ATX Power Supply (PS-TPG-1500DPCTUS-T),https://m.media-amazon.com/images/I/51Z7mlaUJIL.jpg,https://pcpartpicker.com/product/Vh98TW/thermaltake-toughpower-dps-g-rgb-titanium-1500w-80-titanium-certified-fully-modular-atx-power-supply-ps-tpg-1500dpctus-t,ATX,,,,,,,1500.0,,,,,11822,74.78607194393727,barato
memory,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6600 CL34 Memory (FF4D532G6600HC34DC01),https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg,https://pcpartpicker.com/product/x4zhP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6600-cl34-memory-ff4d532g6600hc34dc01,,DDR5,,,,,,,,,32.0,,6812,65.4679754111783,barato
